id,zh,ja,zh_negated,ja_negated,count
P8571,外部審計,会計監査人,不是 外部審計,いいえ 会計監査人,125
P7078,类型推断系统,型システム,不是 类型推断系统,いいえ 型システム,774
P3438,常用车辆,主な使用車両,不是 常用车辆,いいえ 主な使用車両,2901
P826,音調,調,不是 音調,いいえ 調,5039
P1652,裁判,審判,不是 裁判,いいえ 審判,19997
P3262,解剖学分支,解剖学的分枝,不是 解剖学分支,いいえ 解剖学的分枝,286
P376,所在天体,位置する天体,不是 所在天体,いいえ 位置する天体,9235
P5026,照明设计师,照明デザイナー,不是 照明设计师,いいえ 照明デザイナー,5171
P634,隊長,主将,不是 隊長,いいえ 主将,539
P3150,生日,誕生日,不是 生日,いいえ 誕生日,3191
P7936,商业模式,ビジネスモデル,不是 商业模式,いいえ ビジネスモデル,2359
P5138,賽季所屬俱樂部或團隊,クラブやチームのシーズン,不是 賽季所屬俱樂部或團隊,いいえ クラブやチームのシーズン,79872
P101,工作領域,専門分野,不是 工作領域,いいえ 専門分野,252599
P562,中央銀行或發行機構,中央銀行または発行者,不是 中央銀行或發行機構,いいえ 中央銀行または発行者,443
P1589,最深點,最も低い地点,不是 最深點,いいえ 最も低い地点,512
P5323,文獻出處,典拠,不是 文獻出處,いいえ 典拠,121128
P924,疗法,治療,不是 疗法,いいえ 治療,699
P3022,持旗手,旗手,不是 持旗手,いいえ 旗手,4191
P1595,控罪,争われた罪,不是 控罪,いいえ 争われた罪,4516
P1196,死亡方式,死亡状況,不是 死亡方式,いいえ 死亡状況,100146
P3095,从业者,従事者,不是 从业者,いいえ 従事者,4814
P2376,是超對稱粒子,以下の超対称性粒子,不是 是超對稱粒子,いいえ 以下の超対称性粒子,21
P102,所属政党,所属政党,不是 所属政党,いいえ 所属政党,502780
P1880,测量规范,測定単位,不是 测量规范,いいえ 測定単位,181
P1536,直接结果,以下の直接の原因,不是 直接结果,いいえ 以下の直接の原因,18761
P1479,影响因素,寄与因子,不是 影响因素,いいえ 寄与因子,588
P870,使用的乐器,使用楽器,不是 使用的乐器,いいえ 使用楽器,7611
P3966,編程範型,プログラミングパラダイム,不是 編程範型,いいえ プログラミングパラダイム,1472
P199,业务部门,事業部門,不是 业务部门,いいえ 事業部門,1686
P669,所在街道,所在地（街路名）,不是 所在街道,いいえ 所在地（街路名）,164995
P780,症状,症状,不是 症状,いいえ 症状,10915
P8001,推薦者,支持表明者,不是 推薦者,いいえ 支持表明者,195
P8411,环境设定,物語のロケーション,不是 环境设定,いいえ 物語のロケーション,15928
P7501,音响系统,オーディオシステム,不是 音响系统,いいえ オーディオシステム,2087
P748,委任者,任命者,不是 委任者,いいえ 任命者,5538
P3931,著作權所有者,著作権所有者,不是 著作權所有者,いいえ 著作権所有者,3231
P8693,粉絲文化,ファンベース,不是 粉絲文化,いいえ ファンベース,63
P1029,機組人員,乗組員,不是 機組人員,いいえ 乗組員,2976
P1283,影片集锦,映画作品目録,不是 影片集锦,いいえ 映画作品目録,1518
P2388,機構主管職位,組織長の地位,不是 機構主管職位,いいえ 組織長の地位,12812
P3902,最后进食,最後に摂った食事,不是 最后进食,いいえ 最後に摂った食事,72
P172,族群,民族,不是 族群,いいえ 民族,160731
P872,印刷自,印刷者,不是 印刷自,いいえ 印刷者,2905
P4967,前提,前提条件,不是 前提,いいえ 前提条件,191
P4884,法院,法廷,不是 法院,いいえ 法廷,21138
P5196,输出方法,出力機器,不是 输出方法,いいえ 出力機器,305
P552,利手,利き手,不是 利手,いいえ 利き手,2257
P6193,批准方,批准,不是 批准方,いいえ 批准,2631
P5109,擁有語法性,文法的性,不是 擁有語法性,いいえ 文法的性,136
P196,小行星族,小惑星グループ,不是 小行星族,いいえ 小惑星グループ,97538
P624,导引系统,誘導システム,不是 导引系统,いいえ 誘導システム,248
P789,食用性,食用可能,不是 食用性,いいえ 食用可能,792
P832,公立假日,祝日,不是 公立假日,いいえ 祝日,1481
P2868,主體角色,役割,不是 主體角色,いいえ 役割,353857
P194,立法机构,立法府,不是 立法机构,いいえ 立法府,4257
P1594,法官,裁判官,不是 法官,いいえ 裁判官,9995
P7075,模组基于,以下のMOD,不是 模组基于,いいえ 以下のMOD,186
P5021,参与考试,受けた試験,不是 参与考试,いいえ 受けた試験,25144
P248,载于,出典,不是 载于,いいえ 出典,785
P887,基於啟發法,推測に基づく,不是 基於啟發法,いいえ 推測に基づく,1
P4792,水壩,ダム,不是 水壩,いいえ ダム,3135
P1074,相應虛構概念,現実世界で対応する概念,不是 相應虛構概念,いいえ 現実世界で対応する概念,1877
P607,军事冲突,参加した戦い,不是 军事冲突,いいえ 参加した戦い,221623
P553,开设账户网站,ソーシャルメディア,不是 开设账户网站,いいえ ソーシャルメディア,2218
P1593,辯護人,弁護人,不是 辯護人,いいえ 弁護人,278
P4791,指揮者,指揮官,不是 指揮者,いいえ 指揮官,3546
P1303,樂器,楽器,不是 樂器,いいえ 楽器,210870
P210,党委书记,党委員会の責任者,不是 党委书记,いいえ 党委員会の責任者,266
P1433,发表于,叢書,不是 发表于,いいえ 叢書,37916091
P937,工作地點,活動地,不是 工作地點,いいえ 活動地,339031
P208,行政机构,行政府,不是 行政机构,いいえ 行政府,1672
P8670,角色設計,キャラクターデザイナー,不是 角色設計,いいえ キャラクターデザイナー,1818
P398,子天体,子天体,不是 子天体,いいえ 子天体,8868
P790,獲准自,承認者,不是 獲准自,いいえ 承認者,29098
P3831,客体角色,オブジェクトの役割,不是 客体角色,いいえ オブジェクトの役割,65
P2445,所属元子类,以下のメタサブクラス,不是 所属元子类,いいえ 以下のメタサブクラス,41
P1779,可能的創作者,創作者候補,不是 可能的創作者,いいえ 創作者候補,38
P86,作曲者,作曲,不是 作曲者,いいえ 作曲,188471
P3776,抑制剂,以下の阻害剤,不是 抑制剂,いいえ 以下の阻害剤,101
P5769,總編輯,編集長,不是 總編輯,いいえ 編集長,2325
P2770,收入來源,収入源,不是 收入來源,いいえ 収入源,500
P530,邦交國,国交のある国,不是 邦交國,いいえ 国交のある国,7046
P47,接壤,隣の国または行政区画,不是 接壤,いいえ 隣の国または行政区画,605173
P461,相反面,反対の概念,不是 相反面,いいえ 反対の概念,23857
P460,据称相同,同一とされる事物,不是 据称相同,いいえ 同一とされる事物,285208
P3373,兄弟姊妹,兄弟姉妹,不是 兄弟姊妹,いいえ 兄弟姉妹,407131
P26,配偶,配偶者,不是 配偶,いいえ 配偶者,731197
P7047,敌人,敵,不是 敌人,いいえ 敵,3809
P451,非婚伴侣,婚姻関係にないパートナー,不是 非婚伴侣,いいえ 婚姻関係にないパートナー,14156
P1889,相异於,以下と異なる,不是 相异於,いいえ 以下と異なる,801466
P3403,空间重合实体,同一境界,不是 空间重合实体,いいえ 同一境界,4076
P190,友好城市,姉妹都市,不是 友好城市,いいえ 姉妹都市,48990
P1382,部分重合物,重複,不是 部分重合物,いいえ 重複,17887
P1038,亲属,親族,不是 亲属,いいえ 親族,52123
P197,相邻车站,隣の駅,不是 相邻车站,いいえ 隣の駅,209079
P833,换乘车站,乗換駅,不是 换乘车站,いいえ 乗換駅,3685
P2789,连接,以下と接続,不是 连接,いいえ 以下と接続,183333
P3342,重要人物,重要な人物,不是 重要人物,いいえ 重要な人物,15439
P1327,专业或体育合作伙伴,専門家またはスポーツのパートナー,不是 专业或体育合作伙伴,いいえ 専門家またはスポーツのパートナー,17571
P399,伴天体,伴天体,不是 伴天体,いいえ 伴天体,4476
P1420,同物異名,シノニム,不是 同物異名,いいえ シノニム,21387
P129,物理相互作用于,物理的相互作用,不是 物理相互作用于,いいえ 物理的相互作用,9480
P1322,對偶幾何圖形,双対,不是 對偶幾何圖形,いいえ 双対,351
P2375,其超對稱粒子為,超対称性パートナー,不是 其超對稱粒子為,いいえ 超対称性パートナー,20
P3032,相邻建筑,隣接する建築物,不是 相邻建筑,いいえ 隣接する建築物,5242
P6185,互变异构体,以下の互変異性体,不是 互变异构体,いいえ 以下の互変異性体,1063
P3179,领土重合于,重なる地域,不是 领土重合于,いいえ 重なる地域,8370
P144,改編自,派生元,不是 改編自,いいえ 派生元,52294
P737,影响自,影響を受けたもの,不是 影响自,いいえ 影響を受けたもの,18552
P2444,同形字,ホモグリフ,不是 同形字,いいえ ホモグリフ,1752
P684,种间同源基因,オーソログ,不是 种间同源基因,いいえ オーソログ,4320878
P3364,立體異構體,以下の立体異性体,不是 立體異構體,いいえ 以下の立体異性体,2013
P53,家族,家系,不是 家族,いいえ 家系,89379
P1416,所属机构,所属機関,不是 所属机构,いいえ 所属機関,86685
P3113,不包含的部分,以下を含まない,不是 不包含的部分,いいえ 以下を含まない,499
P2860,引用作品,引用文献,不是 引用作品,いいえ 引用文献,285213488
P807,分离自,以下より分立,不是 分离自,いいえ 以下より分立,2321
P1557,表现概念,表現する概念,不是 表现概念,いいえ 表現する概念,2120
P4675,形态,変身先,不是 形态,いいえ 変身先,373
P6477,不具备的特性,持たない特性,不是 不具备的特性,いいえ 持たない特性,344
P2650,关注对象,興味の対象,不是 关注对象,いいえ 興味の対象,14947
P547,紀念對象,記念対象,不是 紀念對象,いいえ 記念対象,26003
P5004,反對,以下に反対,不是 反對,いいえ 以下に反対,461
P1268,代表对象,以下の代表,不是 代表对象,いいえ 以下の代表,5411
P825,呈献对象,献呈先,不是 呈献对象,いいえ 献呈先,50406
P31,隶属于,分類,不是 隶属于,いいえ 分類,103114325
P1441,登场作品,登場する作品,不是 登场作品,いいえ 登場する作品,126749
P828,起因,原因,不是 起因,いいえ 原因,9257
P1542,導致,以下の原因,不是 導致,いいえ 以下の原因,5715
P2737,并集,以下の和集合,不是 并集,いいえ 以下の和集合,375
